Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
HBLD83,2026-03-19,1040.0,1040.0,1040.0,1040.0,0.0,50.0,1111.0,1020.0
HDHPC,2026-03-19,257.5,264.0,252.0,253.4,-1.59,1822131.0,264.0,162.0
HDL,2026-03-19,1182.0,1198.9,1182.0,1195.0,1.1,98089.0,1556.1,1103.0
HEI,2026-03-19,545.0,565.0,539.5,555.0,1.83,42847.0,654.0,458.0
HEIP,2026-03-19,315.0,323.0,314.4,323.0,2.54,6370.0,414.7,293.1
HFIN,2026-03-19,147.0,163.4,147.0,163.4,11.16,190.0,163.4,101.7
HHL,2026-03-19,390.7,400.0,383.5,389.0,-0.44,243831.0,545.0,310.7
HIDCL,2026-03-19,292.5,300.0,292.5,299.0,2.22,677725.0,340.0,245.0
HIDCLP,2026-03-19,221.7,227.9,220.0,225.0,1.49,1707601.0,239.0,167.0
HIMSTAR,2026-03-19,979.0,985.0,956.0,970.0,-0.92,11510.0,1264.0,252.2
HLBSL,2026-03-19,949.5,955.0,931.2,950.0,0.05,3859.0,1100.0,837.0
HLI,2026-03-19,390.0,396.0,386.0,396.0,1.54,204604.0,464.0,354.8
HLICF,2026-03-19,9.32,9.51,9.32,9.34,0.21,1700.0,10.55,8.74
HPPL,2026-03-19,498.0,521.0,498.0,510.0,2.41,326016.0,711.0,411.1
HRL,2026-03-19,887.0,894.9,870.0,887.9,0.1,201643.0,1139.9,762.1
HURJA,2026-03-19,297.0,312.1,297.0,305.0,2.69,619385.0,312.1,204.6
ICFC,2026-03-19,668.0,680.0,658.1,675.0,1.05,34873.0,730.9,555.0
ICFCD88,2026-03-19,1184.9,1184.9,1161.3,1169.0,-1.34,375.0,1216.0,1040.8
IGI,2026-03-19,453.0,468.2,447.0,461.3,1.83,65623.0,600.0,392.0
IHL,2026-03-19,525.0,544.0,520.5,530.0,0.95,19052.0,718.0,490.0
ILBS,2026-03-19,952.0,986.0,952.0,971.1,2.01,7155.0,1311.0,795.2
ILI,2026-03-19,455.0,465.1,451.0,463.9,1.96,44887.0,500.0,405.0
JBBL,2026-03-19,359.1,378.0,359.1,375.0,4.43,394005.0,413.0,295.0
JBLB,2026-03-19,1380.0,1390.0,1366.0,1371.5,-0.62,9794.0,1644.0,1270.7
JFL,2026-03-19,453.1,462.0,450.0,455.0,0.42,23826.0,558.0,395.0
JHAPA,2026-03-19,1447.0,1447.0,1400.1,1417.0,-2.07,8468.0,1749.0,293.4
JOSHI,2026-03-19,320.0,332.5,316.1,325.0,1.56,249220.0,487.0,254.0
JSLBB,2026-03-19,1164.0,1200.0,1156.2,1197.0,2.84,979.0,1535.8,1059.0
KBL,2026-03-19,225.3,239.0,221.5,232.0,2.97,2381631.0,239.0,175.5
KBSH,2026-03-19,1734.0,1768.0,1700.1,1700.1,-1.96,485.0,2625.0,1618.0
KDBY,2026-03-19,10.22,10.5,10.22,10.36,1.37,159056.0,10.57,8.67
KDL,2026-03-19,907.8,907.8,880.2,898.0,-1.08,12969.0,1212.0,770.0
KEF,2026-03-19,9.41,9.89,9.41,9.89,5.1,165583.0,10.42,8.31
KKHC,2026-03-19,294.1,302.0,294.0,296.0,0.65,409372.0,475.9,208.0
KMCDB,2026-03-19,936.1,970.0,936.1,965.0,3.09,8053.0,1223.0,893.0
KPCL,2026-03-19,546.0,552.0,541.1,545.0,-0.18,124572.0,711.0,491.0
KSBBL,2026-03-19,491.0,505.0,487.1,503.0,2.44,171152.0,588.0,404.1
KSY,2026-03-19,9.5,10.0,9.5,9.81,3.26,13843.0,10.51,8.21
LBBL,2026-03-19,506.0,522.2,495.0,516.9,2.15,245321.0,646.3,376.5
LEC,2026-03-19,267.0,275.0,262.9,265.3,-0.64,1173131.0,275.0,180.0
LICN,2026-03-19,867.5,884.3,857.0,880.0,1.44,70857.0,1052.0,773.0
LLBS,2026-03-19,1012.0,1023.0,990.0,1021.0,0.89,7167.0,1300.5,865.0
LSL,2026-03-19,226.4,231.0,223.1,231.0,2.03,462620.0,252.0,201.0
LUK,2026-03-19,9.84,10.0,9.84,10.0,1.63,1100.0,11.97,8.97
LVF2,2026-03-19,9.87,10.01,9.82,10.01,1.42,12200.0,11.45,8.76
