Date,Open,High,Low,Close,Volume,Symbol,EMA_10,EMA_25,EMA_Difference,Monthly_Crossover,EMA_Gap_%
2026-01-31,1270.0,1348.0,1245.6,1277.0,1161729.0,NRIC,1262.27,1260.38,1.89,True,0.15
2026-01-31,417.0,469.0,412.0,442.2,1051073.0,NRM,421.83,419.22,2.61,True,0.62
2026-01-31,819.0,1045.0,793.9,965.3,305949.0,NWCL,838.32,822.04,16.28,True,1.98
2026-01-31,1267.0,1575.9,1260.0,1415.0,780842.0,OMPL,1293.91,1278.38,15.52,True,1.21
2026-01-31,1103.0,1150.0,1103.0,1150.0,140.0,PBD85,1125.45,1122.31,3.15,True,0.28
2026-01-31,1132.2,1150.0,1104.5,1125.0,663.0,PBLD84,1122.63,1122.32,0.3,True,0.03
2026-01-31,495.3,543.6,478.2,519.5,483189.0,PMLI,506.82,505.19,1.63,True,0.32
2026-01-31,317.1,394.6,311.5,384.0,4199705.0,PPL,331.64,324.92,6.71,True,2.07
2026-01-31,696.6,769.7,674.0,735.0,322739.0,PRIN,692.45,687.0,5.45,True,0.79
2026-01-31,988.0,1262.0,970.0,1112.0,1391162.0,PURE,1010.55,997.54,13.01,True,1.3
2026-01-31,705.2,837.0,686.0,835.0,76344.0,RAWA,739.27,727.0,12.27,True,1.69
2026-01-31,14553.0,15250.0,14550.1,15000.0,5806.0,RBCL,14869.91,14853.23,16.68,True,0.11
2026-01-31,354.1,464.2,350.0,436.0,4274721.0,RFPL,373.0,364.92,8.08,True,2.21
2026-01-31,247.0,317.9,238.1,303.0,2957037.0,RHGCL,257.26,251.4,5.86,True,2.33
2026-01-31,222.0,255.0,218.0,246.5,2202516.0,RIDI,228.09,225.73,2.36,True,1.05
2026-01-31,630.0,700.7,578.7,657.9,444812.0,RSDC,643.17,641.28,1.89,True,0.29
2026-01-31,9.5,10.09,9.31,9.84,344831.0,RSY,9.72,9.7,0.02,True,0.16
2026-01-31,1650.5,2439.0,1650.5,2130.0,1331921.0,SAGAR,1760.18,1712.77,47.41,True,2.77
2026-01-31,1275.0,1749.0,1275.0,1473.0,500927.0,JHAPA,1319.18,1299.46,19.72,True,1.52
2026-01-31,945.0,1028.0,908.0,951.0,42655.0,ACLBSL,944.45,943.62,0.84,True,0.09
2026-01-31,8.98,9.89,8.86,9.52,775032.0,MNMF1,9.14,9.09,0.05,True,0.54
2026-01-31,537.0,556.0,514.0,550.0,418990.0,BEDC,541.82,540.77,1.05,True,0.19
2026-01-31,765.0,810.0,753.1,793.0,78331.0,BGWT,770.09,767.15,2.94,True,0.38
2026-01-31,491.0,699.0,487.4,618.0,3083888.0,BHCL,513.27,499.85,13.43,True,2.69
2026-01-31,178.8,214.0,174.0,207.5,4700616.0,BHL,184.02,181.01,3.01,True,1.66
2026-01-31,530.4,626.0,510.0,595.0,1834396.0,BHPL,533.64,525.77,7.87,True,1.5
2026-01-31,439.0,595.0,433.1,571.0,699407.0,BNHC,464.64,451.0,13.64,True,3.02
2026-01-31,1339.0,1420.0,1290.0,1375.0,16070.0,DLBS,1345.55,1341.77,3.78,True,0.28
2026-01-31,568.0,918.9,560.0,763.0,2066432.0,DHEL,605.91,585.77,20.14,True,3.44
2026-01-31,801.0,865.0,794.5,840.0,157263.0,DDBL,810.46,806.68,3.79,True,0.47
2026-01-31,587.0,822.0,587.0,720.0,1954201.0,BUNGAL,615.27,601.85,13.43,True,2.23
2026-01-31,1202.1,1566.0,1181.1,1450.0,650373.0,CREST,1261.41,1237.23,24.18,True,1.95
2026-01-31,1245.0,1265.0,1220.0,1260.0,491.0,CBLD88,1247.73,1246.15,1.57,True,0.13
2026-01-31,321.6,355.0,318.5,346.0,791864.0,HHL,328.74,326.52,2.21,True,0.68
2026-01-31,824.2,1264.0,824.2,1050.0,909512.0,HIMSTAR,879.0,857.08,21.92,True,2.56
2026-01-31,863.0,928.0,821.3,866.0,2935032.0,HRL,849.72,847.63,2.09,True,0.25
2026-01-31,473.0,493.0,461.0,474.1,682117.0,CLI,470.75,470.32,0.43,True,0.09
2026-01-31,510.0,565.0,500.0,544.9,192755.0,DOLTI,520.19,517.02,3.17,True,0.61
2026-01-31,789.6,1233.0,766.0,1080.0,4232610.0,BANDIPUR,829.8,797.72,32.08,True,4.02
2026-01-31,264.0,304.0,250.0,284.0,5417991.0,DORDI,264.36,261.85,2.52,True,0.96
2026-01-31,415.0,455.0,413.0,434.8,333577.0,IGI,421.87,420.22,1.66,True,0.39
2026-01-31,1965.0,2222.0,1862.1,2064.0,41814.0,GLBSL,1983.0,1972.62,10.38,True,0.53
2026-01-31,1182.0,1227.0,1117.0,1185.2,48745.0,GILB,1180.95,1180.4,0.55,True,0.05
2026-01-31,548.0,608.9,532.0,579.0,178566.0,AHL,555.27,552.23,3.04,True,0.55
2026-01-31,415.0,450.6,405.3,427.0,597860.0,GCIL,418.49,417.4,1.09,True,0.26
2026-01-31,1700.2,1949.0,1694.0,1780.0,64032.0,GMLI,1732.55,1726.46,6.08,True,0.35
2026-01-31,779.0,860.3,761.1,815.0,710746.0,FMDBL,786.28,782.6,3.68,True,0.47
2026-01-31,978.1,1064.0,945.0,1013.0,210801.0,ILBS,1000.73,999.15,1.57,True,0.16
2026-01-31,196.0,321.0,190.0,312.0,16131204.0,AKJCL,220.02,211.17,8.85,True,4.19
2026-01-31,8.95,9.76,8.84,9.57,442753.0,GSY,9.19,9.15,0.05,True,0.53
2026-01-31,900.0,993.0,882.0,950.0,46628.0,ENL,909.09,903.85,5.24,True,0.58
2026-01-31,402.9,474.0,386.5,449.8,1322937.0,EHPL,404.96,399.22,5.75,True,1.44
2026-01-31,922.1,1041.0,906.0,968.0,85248.0,AVYAN,943.45,940.31,3.15,True,0.33
2026-01-31,904.0,1008.0,875.5,932.6,309938.0,HATHY,896.11,891.43,4.68,True,0.52
2026-01-31,548.8,595.0,524.3,587.0,438162.0,IHL,564.91,562.08,2.83,True,0.5
2026-01-31,665.0,792.0,641.5,749.7,236089.0,CKHL,680.4,671.52,8.88,True,1.32
2025-11-30,798.0,872.0,782.2,841.1,1988548.0,NLIC,786.4,779.96,6.44,True,0.83
2025-08-31,465.0,477.0,429.6,441.63,3371328.0,MNBBL,397.75,395.06,2.7,True,0.68
2025-07-31,288.0,347.8,278.2,319.94,12475396.0,SHEL,272.01,266.72,5.29,True,1.98
2025-06-30,525.0,606.9,507.8,588.94,5719848.0,SAHAS,524.05,517.71,6.35,True,1.23
2025-05-31,272.0,309.0,261.0,304.72,1294087.0,SBL,294.44,293.36,1.09,True,0.37
2025-04-30,274.0,385.0,254.8,368.78,24045216.0,NGPL,337.74,334.0,3.75,True,1.12
2025-04-30,259.9,303.0,246.0,299.09,7676404.0,AHPC,261.17,257.68,3.48,True,1.35
2025-01-31,272.0,340.5,268.0,336.0,875129.0,PPCL,280.49,278.1,2.39,True,0.86
2025-01-31,201.0,218.0,199.3,213.7,1663941.0,GHL,201.67,200.16,1.5,True,0.75
2024-11-30,225.0,255.0,220.2,236.5,2246985.0,SSHL,203.46,201.2,2.25,True,1.12
2024-11-30,744.9,780.0,720.2,752.9,498099.0,ALICL,683.3,679.6,3.7,True,0.54
2024-11-30,485.2,640.4,485.0,631.0,1808351.0,UMRH,470.91,455.42,15.49,True,3.4
2024-11-30,277.0,296.0,265.7,273.1,2751455.0,NIFRA,248.01,247.99,0.01,True,0.0
2024-10-31,285.9,317.0,278.1,293.0,4441902.0,API,243.18,237.3,5.88,True,2.48
2024-10-31,272.0,305.7,269.0,284.3,2244050.0,PCBL,244.52,239.57,4.95,True,2.07
2024-10-31,193.0,227.0,192.0,214.1,3965053.0,HDHPC,175.89,174.65,1.24,True,0.71
2024-10-31,229.0,273.0,229.0,247.3,5625703.0,PRVU,200.03,199.48,0.55,True,0.27
2024-09-30,458.0,477.0,347.0,357.0,4034599.0,RADHI,311.62,309.72,1.91,True,0.62
2024-09-30,241.0,254.8,223.5,230.6,1917566.0,CZBIL,202.2,200.18,2.02,True,1.01
2024-09-30,326.0,338.5,260.0,274.9,1628702.0,SPDL,268.51,268.35,0.16,True,0.06
2024-08-31,346.0,382.0,308.0,346.0,5409447.0,SANIMA,280.28,278.75,1.53,True,0.55
2024-08-31,370.0,440.0,336.3,385.0,2252031.0,HPPL,303.76,296.72,7.03,True,2.37
2024-08-31,270.0,345.0,259.4,283.0,7993180.0,UPCL,228.11,226.42,1.69,True,0.75
2024-08-31,434.3,497.0,408.5,438.2,3310100.0,SBI,343.89,333.42,10.48,True,3.14
2024-08-31,238.6,360.0,235.0,294.0,18845903.0,HIDCL,202.44,202.32,0.12,True,0.06
2024-08-31,688.0,790.0,660.0,740.0,4537083.0,EBL,581.44,561.83,19.61,True,3.49
2024-08-31,395.0,536.5,381.0,473.0,3204882.0,BPCL,346.69,340.48,6.21,True,1.82
2024-08-31,1699.0,2475.0,1625.4,2314.0,888874.0,LICN,1590.28,1535.87,54.41,True,3.54
2024-07-31,234.2,331.4,233.0,320.0,3020320.0,UMHL,250.33,247.76,2.56,True,1.03
2024-07-31,428.0,641.0,427.0,637.0,3914799.0,CHCL,491.87,485.03,6.84,True,1.41
2024-07-31,350.1,467.0,350.1,456.0,3026524.0,GBBL,384.53,383.74,0.79,True,0.21
2024-07-31,371.3,562.0,371.3,543.0,2199713.0,EDBL,388.92,375.62,13.3,True,3.54
2024-07-31,260.3,450.0,260.3,435.9,3950028.0,RHPL,303.9,295.56,8.34,True,2.82
2024-07-31,333.0,397.5,318.8,380.0,794218.0,NYADI,303.16,300.74,2.42,True,0.8
2024-07-31,257.3,404.1,257.0,387.9,1758564.0,SJCL,293.53,288.61,4.92,True,1.7
2024-07-31,199.0,258.5,199.0,258.5,1030512.0,DHPL,203.86,199.69,4.17,True,2.09
2024-07-31,316.1,475.0,316.0,452.0,4984614.0,SHPC,353.99,347.0,6.99,True,2.01
2024-07-31,304.6,463.1,303.4,457.5,5301286.0,SADBL,333.09,317.57,15.52,True,4.89
2024-07-31,305.0,422.0,290.0,397.0,3754214.0,BARUN,279.07,275.67,3.4,True,1.23
2024-07-31,285.9,403.9,280.0,393.0,4303478.0,JBBL,309.89,304.99,4.91,True,1.61
2024-07-31,316.2,461.7,316.2,460.0,4088196.0,MLBL,347.7,344.28,3.43,True,0.99
2024-07-31,529.0,771.0,526.0,745.7,3096155.0,MFIL,556.11,532.3,23.82,True,4.47
2024-05-31,327.4,349.5,307.0,329.7,492141.0,CHL,287.37,283.63,3.74,True,1.32
2024-05-31,532.7,612.0,511.0,565.0,800639.0,SCB,526.5,522.23,4.27,True,0.82
2024-05-31,394.7,395.0,361.0,370.0,1331763.0,KSBBL,345.5,344.14,1.35,True,0.39
2024-05-31,460.0,670.0,421.1,635.0,824572.0,NABBC,446.85,441.06,5.79,True,1.31
2024-04-30,426.5,486.2,405.0,486.2,134805.0,CORBL,388.91,380.82,8.09,True,2.12
2024-04-30,393.1,795.0,385.2,679.0,2581069.0,PFL,421.54,394.0,27.54,True,6.99
2024-04-30,235.0,243.6,220.0,229.0,421882.0,UNHPL,218.06,217.8,0.26,True,0.12
2024-04-30,382.0,590.0,366.4,563.9,2358215.0,NFS,369.99,348.74,21.24,True,6.09
2024-04-30,382.9,568.0,380.0,535.0,1129126.0,JFL,396.75,390.86,5.89,True,1.51
2024-04-30,432.0,480.0,412.6,463.0,661882.0,MDB,413.58,411.43,2.15,True,0.52
2024-03-31,520.0,595.6,510.0,526.0,1227804.0,NRN,492.29,492.04,0.25,True,0.05
2024-03-31,241.9,262.0,233.5,246.0,135197.0,PMHPL,223.71,223.52,0.19,True,0.09
2024-03-31,478.1,521.0,453.0,470.0,99860.0,MKJC,426.79,426.52,0.27,True,0.06
2024-03-31,325.0,370.0,318.0,341.2,407301.0,CFCL,332.39,332.07,0.32,True,0.1
2024-03-31,245.1,349.2,242.1,293.0,1096393.0,SAPDBL,252.75,250.21,2.55,True,1.02
2024-03-31,480.0,530.0,462.0,497.0,587283.0,ICFC,473.93,471.29,2.65,True,0.56
2024-03-31,236.0,257.0,232.0,237.0,177186.0,KKHC,216.89,214.75,2.14,True,1.0
2024-03-31,315.0,380.0,307.7,345.0,510120.0,SINDU,290.12,283.12,7.0,True,2.47
2024-02-29,341.0,381.0,337.2,337.2,664342.0,MPFL,317.35,316.26,1.1,True,0.35
2024-02-29,551.2,668.3,540.5,583.0,1181974.0,GUFL,541.84,541.64,0.21,True,0.04
2024-02-29,556.0,596.7,524.3,543.0,170476.0,TPC,432.07,419.61,12.47,True,2.97
2024-02-29,251.0,412.0,242.6,350.9,2983355.0,JOSHI,252.04,240.83,11.21,True,4.66
2024-01-31,301.8,348.5,285.5,309.9,860827.0,SFCL,287.53,287.04,0.49,True,0.17
2024-01-31,483.2,690.0,450.0,690.0,416545.0,SPC,467.75,461.07,6.68,True,1.45
2024-01-31,402.9,476.0,331.3,452.0,698602.0,KPCL,369.86,367.74,2.12,True,0.58
