Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,3/10/2023,620,635,614.1,635,"4,436.00"
ACLBSL,3/9/2023,620,635,614.1,635,"4,436.00"
ACLBSL,3/8/2023,635,658.5,615,630.1,789
ACLBSL,3/7/2023,635,658.5,615,630.1,789
ACLBSL,3/6/2023,640,649.7,630,638,759
ACLBSL,3/5/2023,640,649.7,630,638,759
ACLBSL,3/4/2023,651,663,641,641,593
ACLBSL,3/3/2023,651,663,641,641,593
ACLBSL,3/2/2023,651,663,641,641,593
ACLBSL,3/1/2023,685,685,652,663.5,"1,023.00"
ACLBSL,2/28/2023,675.1,685,669,672,"1,076.00"
ACLBSL,2/27/2023,711,719.9,680,680,"1,492.00"
ACLBSL,2/26/2023,650,702,600,698,"3,524.00"
ACLBSL,2/25/2023,711,711,652.7,652.7,"4,553.00"
ACLBSL,2/24/2023,711,711,652.7,652.7,"4,553.00"
ACLBSL,2/23/2023,711,711,652.7,652.7,"4,553.00"
ACLBSL,2/22/2023,745,745,722,725.2,"1,220.00"
ACLBSL,2/21/2023,755,755,744.5,745,672
ACLBSL,2/20/2023,755,755,744.5,745,672
ACLBSL,2/19/2023,775,777,760,765,761
ACLBSL,2/18/2023,775,777,760,765,761
ACLBSL,2/17/2023,775,777,760,765,761
ACLBSL,2/16/2023,775,777,760,765,761
ACLBSL,2/15/2023,778.1,783,765,776,"1,314.00"
ACLBSL,2/14/2023,778.4,795,778.2,778.2,820
ACLBSL,2/13/2023,804,804,780,794,"1,070.00"
ACLBSL,2/12/2023,804,804,780,794,"1,070.00"
ACLBSL,2/11/2023,826,826,794.1,805,680
ACLBSL,2/10/2023,826,826,794.1,805,680
ACLBSL,2/9/2023,826,826,794.1,805,680
ACLBSL,2/8/2023,826,830,809,810,617
ACLBSL,2/7/2023,790,815,790,810,966
ACLBSL,2/6/2023,781,795,777.1,792,558
ACLBSL,2/5/2023,760,790,760,780,825
ACLBSL,2/4/2023,800,801.9,770,770,"1,617.00"
ACLBSL,2/3/2023,800,801.9,770,770,"1,617.00"
ACLBSL,2/2/2023,800,801.9,770,770,"1,617.00"
ACLBSL,2/1/2023,785,805,780,800,"1,101.00"
ACLBSL,1/31/2023,797.8,822,785,800,617
ACLBSL,1/30/2023,816.5,830,814,814,677
ACLBSL,1/29/2023,854,854,824.2,833,"1,126.00"
ACLBSL,1/28/2023,850.1,864,841,841,430
ACLBSL,1/27/2023,850.1,864,841,841,430
ACLBSL,1/26/2023,850.1,864,841,841,430
ACLBSL,1/25/2023,847.6,852.7,820,848,620
ACLBSL,1/24/2023,860,861.9,800,831,"1,127.00"
ACLBSL,1/23/2023,853,868,837,845,905
ACLBSL,1/22/2023,850,869,840,853,"2,066.00"
ACLBSL,1/21/2023,850,869,840,853,"2,066.00"
ACLBSL,1/20/2023,850,869,840,853,"2,066.00"
ACLBSL,1/19/2023,850,869,840,853,"2,066.00"
ACLBSL,1/18/2023,860,875,846.1,850,"1,435.00"
ACLBSL,1/17/2023,830,867,830,867,"1,714.00"
ACLBSL,1/16/2023,854,870,824,824,"2,147.00"
ACLBSL,1/15/2023,854,870,824,824,"2,147.00"
ACLBSL,1/14/2023,854,870,824,824,"2,147.00"
ACLBSL,1/13/2023,854,870,824,824,"2,147.00"
ACLBSL,1/12/2023,854,870,824,824,"2,147.00"
