Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
NMB50,2026-04-21,10.4,10.8,10.4,10.6,1.92,113625.0,11.62,9.7,10.464189363213373,10.459332240183175,49.2957746478873,17412.8,0.0007877823604118817,0.00031067671906228613,True
SMJC,2026-04-13,511.9,511.9,495.1,499.4,-2.44,34014.0,580.0,393.0,490.0392069734628,489.77850567708884,44.994246260069026,47461.433333333334,0.2085457898297136,0.05128948012085175,True
CBBL,2026-03-26,955.0,965.0,950.0,963.0,0.84,25508.0,1054.9,882.0,949.2347773980582,948.7674829513869,59.51776649746193,35282.6,2.0038338753311336,0.7176596202634528,True
BGWT,2026-03-24,775.0,785.0,770.0,785.0,1.29,9078.0,944.0,435.0,771.2131247376894,770.413165635166,46.539792387543244,3456.5666666666666,0.38310091765688414,0.14655760703062698,True
ICFCD88,2026-03-24,1150.0,1173.0,1149.6,1173.0,1.56,259.0,1216.0,1080.0,1156.5426415877296,1155.9478716676076,62.02531645569619,138.0,0.65131476904985,0.24873332197353193,True
KBSH,2026-03-24,1763.0,1763.0,1715.2,1744.9,0.92,104.0,1907.0,758.1,1704.4989613545038,1702.3900075802537,61.31968145620027,313.7,1.9456808103419916,0.6928070469460635,True
GMFBS,2026-03-24,1490.0,1493.0,1475.0,1493.0,-0.86,939.0,1688.0,1041.0,1466.0064790367835,1465.48522456261,63.5228848821082,1136.2333333333333,3.081561900060842,1.0183570346287525,True
CGH,2026-03-22,862.2,901.0,862.2,901.0,4.95,60469.0,983.0,748.0,859.5194212787812,858.8422150832614,69.11589008363202,26070.566666666666,1.0491476265592155,0.3323975731817882,True
SMFBS,2026-03-22,1700.0,1745.0,1666.0,1745.0,3.99,6492.0,1808.0,1285.0,1679.6011889429783,1677.685343896248,65.70545829042226,2118.133333333333,1.6022583085178668,0.5415017766169512,True
GBLBS,2026-03-21,799.8,799.8,782.2,796.9,0.0,10374.0,868.0,610.0,788.2177834829752,787.861576589296,67.29776247848538,6433.4,0.6002388049758565,0.20203453819519837,True
NRIC,2026-03-20,1268.7,1286.0,1243.9,1279.8,0.0,83791.0,1520.0,780.0,1259.0261048538257,1258.5744136634812,56.26576955424726,48315.86666666667,0.14373943391115063,0.008951815952241305,True
